k,Accuracy,F1-score,NMI,ARI,Runtime,Memory (MB)
2,0.5487444608567208,0.3353939119311251,0.5029860471847231,0.2735873816701454,2.2484378814697266,283.96875
5,0.6502954209748892,0.4489217069705647,0.6031521061555621,0.40566087131005674,1.2359473705291748,328.30078125
10,0.655096011816839,0.4678903265330004,0.6104595837454633,0.4140086703069913,1.7915456295013428,328.62890625
15,0.5967503692762186,0.44081906688189826,0.5616602976900753,0.367962862864812,1.3684132099151611,329.0625
20,0.6026587887740029,0.44660068946041165,0.5412062489523798,0.3717306398355876,2.409013509750366,329.51953125
25,0.6070901033973413,0.447120202899014,0.5448723635717022,0.3737722615029084,1.9359533786773682,335.1015625
30,0.6237075332348597,0.44092452919868763,0.5926105390050544,0.3728430587308313,1.2432820796966553,337.453125
40,0.629615952732644,0.4466585445219536,0.5952901584408961,0.3763145689687436,1.5304539203643799,341.84765625
50,0.6100443131462334,0.440800051332599,0.5628822940164084,0.36308195820446515,1.2089707851409912,343.69921875
75,0.611890694239291,0.4343863643593419,0.5668372050007376,0.35801816775724943,1.4548845291137695,345.09765625
100,0.6211225997045791,0.43945297412869244,0.5772297214697524,0.3633722362938535,1.4192214012145996,346.3671875
150,0.6004431314623339,0.4203809342133409,0.5632174152369966,0.3420331943776006,1.0712110996246338,349.93359375
200,0.5646233382570163,0.402714929417831,0.5404570032685393,0.3219943816147704,1.3390581607818604,352.55078125
300,0.5598227474150664,0.38925218583869464,0.5309930459710612,0.31314623849455886,2.5981783866882324,357.6640625
400,0.5542836041358936,0.3915556465185063,0.522498525829743,0.31640629751482907,2.1222240924835205,362.92578125
500,0.5480059084194978,0.37569581301791033,0.5181442596475216,0.3050873778350984,3.9953558444976807,369.74609375
750,0.5221565731166913,0.3589690906075147,0.4877756185278506,0.2838392619149868,2.704397201538086,382.75
1000,0.5365583456425406,0.34499206890286555,0.5035765056731081,0.27405542345628414,4.329409599304199,395.79296875
